spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout X,spectrum_SAR5_ADC_testbench_non_ideal_SIN_FFT.vout Y
2846776.44432039,-67.94534776952219
2860731.230812156,-73.96594768280178
2874686.017303923,-364.371304723374
2888640.803795689,-74.03357347406028
2902595.590287456,-68.01297356078065
2916550.376779222,-74.0335734740603
2930505.163270989,-355.3503960151141
2944459.949762756,-77.49969147903875
2958414.736254522,-71.47909156575908
2972369.522746289,-77.49969147903889
2986324.309238055,-361.8468247744048
3000279.095729822,-74.9121170288892
3014233.882221588,-68.89151711560955
3028188.668713355,-74.91211702888923
3042143.455205122,-365.106944247918
3056098.241696888,-78.77475581002918
3070053.028188655,-72.75415589674967
3084007.814680421,-78.77475581002919
3097962.601172188,-368.0991600986388
3111917.387663954,-73.6391298562817
3125872.174155721,-67.61852994300202
3139826.960647488,-73.63912985628204
3153781.747139254,-362.6980552980593
3167736.533631021,-72.05478306375016
3181691.320122787,-66.03418315047055
3195646.106614554,-72.05478306375011
3209600.89310632,-360.8130390742456
3223555.679598087,-78.60749074556109
3237510.466089854,-72.58689083228124
3251465.25258162,-78.60749074556099
3265420.039073387,-359.9904089759308
3279374.825565153,-76.15383064551074
3293329.61205692,-70.13323073223113
3307284.398548686,-76.15383064551069
3321239.185040453,-361.6398006139516
3335193.97153222,-77.12318059889982
3349148.758023986,-71.1025806856202
3363103.544515753,-77.12318059889981
3377058.331007519,-369.8917759959445
3391013.117499286,-74.27010676815274
3404967.903991052,-68.24950685487308
3418922.690482819,-74.27010676815287
3432877.476974586,-365.6506557164257
3446832.263466352,-80.15771744362348
3460787.049958119,-74.13711753034377
3474741.836449885,-80.1577174436236
3488696.622941652,-364.911859499463
3502651.409433418,-81.32719383841773
3516606.195925185,-75.30659392513789
3530560.982416952,-81.3271938384174
3544515.768908718,-364.5978735335337
3558470.555400485,-79.16956517612589
3572425.341892251,-73.14896526284636
3586380.128384018,-79.16956517612871
3600334.914875784,-372.6865107459327
3614289.701367551,-78.71177006381383
3628244.487859318,-72.69117015053418
3642199.274351084,-78.71177006381389
3656154.060842851,-361.3167145304471
3670108.847334617,-82.07361055616511
3684063.633826384,-76.0530106428853
3698018.42031815,-82.07361055616497
3711973.206809917,-354.7998235679552
3725927.993301684,-75.73328036777477
3739882.77979345,-69.71268045449523
3753837.566285217,-75.73328036777474
3767792.352776983,-362.8722518896042
3781747.13926875,-96.3854575552941
3795701.925760516,-90.36485764201353
3809656.712252283,-96.385457555294
3823611.49874405,-369.5785068104331
3837566.285235816,-74.6828278488625
3851521.071727583,-68.66222793558292
3865475.858219349,-74.6828278488625
3879430.644711116,-353.0386019313346
3893385.431202882,-79.19777906831112
3907340.217694649,-73.17717915503204
3921295.004186416,-79.19777906831186
3935249.790678182,-348.8261797757477
3949204.577169949,-72.32483184889119
3963159.363661715,-66.30423193561158
3977114.150153482,-72.32483184889118
3991068.936645248,-356.8258485932759
4005023.723137015,-90.51129167980277
4018978.509628782,-84.49069176652351
4032933.296120548,-90.51129167980351
4046888.082612315,-365.322631090753
4060842.869104081,-74.41420235766672
4074797.655595848,-68.39360244438716
4088752.442087614,-74.41420235766665
4102707.228579381,-361.0509262672341
4116662.015071148,-85.5461749078264
4130616.801562914,-79.52557499454701
4144571.588054681,-85.54617490782674
4158526.374546447,-353.2893397834138
4172481.161038214,-76.81742491330199
4186435.94752998,-70.7968250000223
4200390.734021747,-76.81742491330188
4214345.520513514,-363.8799492543825
4228300.307005281,-81.58085913500899
4242255.093497047,-75.56025922172925
4256209.879988814,-81.58085913500881
4270164.66648058,-361.3521265228815
4284119.452972347,-74.03183369944973
4298074.239464113,-68.01123378617015
4312029.02595588,-74.03183369944975
4325983.812447647,-359.6881039807927
4339938.598939413,-88.25911340687993
4353893.38543118,-82.23851349360029
4367848.171922946,-88.25911340687978
4381802.958414713,-359.1898962270729
4395757.744906479,-78.79333339076813
4409712.531398246,-72.7727334774885
4423667.317890013,-78.79333339076811
4437622.104381779,-365.8363021551182
4451576.890873546,-78.53860635913782
4465531.677365312,-72.51800644585853
4479486.463857079,-78.53860635913753
4493441.250348845,-356.6117658343434
4507396.036840612,-75.38045606769546
4521350.823332379,-69.35985615441578
4535305.609824145,-75.38045606769553
4549260.396315912,-372.6193977475995
4563215.182807678,-78.14604227769881
4577169.969299445,-72.12544236441917
4591124.755791212,-78.14604227769878
4605079.542282978,-361.9345107081954
4619034.328774745,-73.89613775571472
4632989.115266511,-67.87553784243512
4646943.901758278,-73.89613775571478
4660898.688250044,-360.0814836909407
4674853.474741811,-85.60874054544004
4688808.261233578,-79.58814063216055
4702763.047725344,-85.60874054543986
4716717.834217111,-362.5763719706597
4730672.620708877,-77.02340129721493
4744627.407200644,-71.00280138393532
4758582.19369241,-77.0234012972148
4772536.980184177,-366.7692759652965
4786491.766675944,-72.95158082161416
4800446.55316771,-66.93098090833443
4814401.339659477,-72.95158082161406
4828356.126151243,-365.1558618490279
4842310.91264301,-73.55696368857396
4856265.699134776,-67.5363637752943
4870220.485626543,-73.55696368857386
4884175.27211831,-358.3396747023713
4898130.058610076,-74.38813989907166
4912084.845101843,-68.36753998579204
4926039.631593609,-74.38813989907133
4939994.418085376,-380.3424248357817
4953949.204577142,-75.66955673025491
4967903.991068909,-69.64895681697566
4981858.777560676,-75.66955673025517
4995813.564052442,-380.1883103327683
5009768.350544209,-89.75819067550852
5023723.137035975,-83.73759076222893
5037677.923527742,-89.75819067550785
5051632.710019508,-365.9030182809606
5065587.496511275,-83.36669359682118
5079542.283003042,-77.34609368354178
5093497.069494808,-83.36669359682176
5107451.855986575,-348.2919113485501
5121406.642478341,-71.36257519810866
5135361.428970108,-65.34197528482898
5149316.215461874,-71.36257519810849
5163271.001953641,-356.9682440875042
5177225.788445408,-82.81105881246766
5191180.574937174,-76.79045889918824
5205135.361428941,-82.81105881246738
5219090.147920707,-354.4707021851647
5233044.934412474,-81.55063027614405
5246999.72090424,-75.5300303628643
5260954.507396007,-81.55063027614366
5274909.293887774,-356.9559647680331
5288864.08037954,-88.38301564014115
5302818.866871307,-82.36241572686077
5316773.653363073,-88.38301564013963
5330728.43985484,-353.8746318803041
5344683.226346606,-75.86411209411845
5358638.012838373,-69.84351218083785
5372592.79933014,-75.86411209411968
5386547.585821906,-374.393272195359
5400502.372313673,-84.84925740134371
